Independent,Explanation,Dependent,Atributo,Clase
Ecuación de campo de la teoría bimétrica de BSLL,"$\square_{\eta}$$B^{\mu\nu}=-(\frac{4\pi}{a})(g/\eta)^{\frac{1}{2}}T^{\alpha\beta}\left[\theta_{\alpha\beta}^{\mu\nu}-f(a+4f)^{-1}\Theta_{\alpha\beta}^{\gamma\delta}\eta^{\mu\nu}\eta_{\gamma\delta}\right]$,
where
$\theta_{\alpha\beta}^{\mu\nu}=\frac{\partial g_{\alpha\beta}}{\partial B_{\mu\nu}}$.",,Ec. 5-84,FieldEq
Ecuación de campo de las teorías estratificadas,"$\square_{\eta}$$\phi+\left[f_{3}(\phi)+1\right]\phi_{00}+\frac{1}{2}f’_{3}(\phi)\phi_{,0}^{2}-\frac{1}{2}K_{2}B_{,ij}^{ij}=2\pi(-g)^{\frac{1}{2}}\left[T^{00}f’_{1}(\phi)-T^{ii}f’_{2}(\phi)\right]$,
$\square$ $B^{ij}+(\frac{\kappa_{2}}{2\kappa_{1}})\phi^{,ij}=\left(\frac{2\pi}{\kappa_{1}}\right)\left(-g\right)^{\frac{1}{2}}T^{ij}$.",,Ec. 5-95,FieldEq
$K^{\mu}$: Campo vectorial dinámico,Tipo tiempo,,Kmn,GO
$\phi$: Campo escalar dinámico,,,Phi,GO
Campo tensorial simétrico,,,B,GO
$t$: Función del tiempo cósmico,"Un campo escalar no dinámico. El gradiente de $t$ es covariantemente constante y temporal con respecto a $\eta$. Este campo escalar selecciona secciones espaciales preferidas de ""estratos"" en el universo que son ortogonales a $\nabla$.",,t,GO
Función cosmológica $\lambda(\phi)$,"$\lambda(\phi)$ provoca dos efectos: en la ecuación de campo para $g$ juega el mismo papel que la constante cosmológica en GR y, en la ecuación de campo, da a $(\phi)$ un rango l relacionado con $\lambda$, $w$ y sus derivados, en el sentido de que las soluciones para $(\phi)$ para un sistema aislado contienen términos tipo Yukawa $exp\left(-r/l\right)$",,lambda,Cosmo
$\lambda(\phi)=0$,,,lambda = 0,Cond
$w(\phi)$: Función arbitraria de acoplamiento,,,w,Function
$w’=0$,$w(\phi)\equiv constant$,,w’ = 0,Cond
$w\rightarrow\infty$,"
",,w = 0,Cond
$w=0$,,,w-inf,Cond
"$r$, $q$: Parámetros arbitrarios",,,"r, q",Function
$n$: Parámetro arbitrario,También encontrado como $\eta$,,n0,Function
$n=0$,,,n = 0,Cond
$n=-2w$,,,n = -2w,Cond
$\varepsilon$: Parámetro arbitrario,,,epsilon,Function
$\varepsilon=1$,,,e = 1,Cond
$\varepsilon=0$,,,e = 0,Cond
$\tau=1$,Esto representa una restricción sobre el calibre del campo vectorial $k_{\mu}$ impuesta por la falta de invariancia de calibre total de la acción $I$.,,tau = 1,Cond
$\tau$: Parámetro arbitrario,,,tau,Function
$\tau=0$,"En este caso, no se impone ninguna restricción al campo vectorial.",,tau = 0,Cond
"$a$, $f$, $k$: Funciones arbitrarias",,,"a, f, k",Function
"$f_{1}\left(\phi\right)$, $f_{2}\left(\phi\right)$, $f_{3}\left(\phi\right)$: Funciones arbitrarias",,,"f1(Phi), f2(Phi), f3(Phi)",Function
$e$: Funciones arbitrarias,,,e,Function
"$\kappa_{1}$, $\kappa_{2}$: Funciones arbitrarias",,,"Kappa1, Kappa2",Function
“Constante” Gravitacional,$G_{today}=1=\left[constant\right]$,,G = 1,ElemDis
“Constante” Gravitacional,$G_{today}\equiv\phi_{0}^{-1}\left(\frac{4+2w}{3+2w}\right)=1$,,G 5-38,ElemDis
“Constante” Gravitacional,$G_{today}\equiv G\left[\frac{1}{2}\left(\gamma+1\right)+\frac{3}{2}wK^{2}\left(\gamma-1\right)-\frac{1}{2}\left(\eta-\tau\right)K^{2}\left(1+\sigma\right)\right]^{-1}=1$,,G 5-61,ElemDis
“Constante” Gravitacional,$G_{today}=\frac{G}{(1+\frac{1}{2}K^{2})}=1$,"
",G 5-63,ElemDis
“Constante” Gravitacional,$G_{today}=G\left[wK^{2}(\gamma+1)\right]^{-1}=1$,,G 5-65,ElemDis
“Constante” Gravitacional,$G_{today}=G(c_{0}c_{1})^{\frac{1}{2}}=1$,,G 5-70,ElemDis
“Constante” Gravitacional,$G_{today}\equiv\frac{a+3f-4Ka-16K^{2}a}{2a(a+4f)}+O(w)=1$,,G 5-89,ElemDis
“Constante” Gravitacional,$G_{today}=c^{2}c_{1}^{\frac{1}{2}}c_{0}^{\frac{-3}{2}}(1+\kappa_{2}^{2}/4\kappa_{1})^{-1}=1$,,G 5-101,ElemDis
$\phi_{0}$: Parámetro de coincidencia cosmológica,,,Phi0,Cosmo
$K$: Parámetro de coincidencia cosmológica,,,K0,Cosmo
"$C_{0}$, $C_{1}$: Parámetros de coincidencia cosmológica",,,"c0, c1",Cosmo
"$w_{0}$, $w_{1}$: Parámetros de coincidencia cosmológica",,,"w0, w1",Cosmo
"$a$, $b$, $c$, $d$: Parámetros de coincidencia cosmológica",,,"a, b, c, d",Cosmo
Acción para las teorías escalares-tensoriales,"$\ensuremath{I=(16\pi)^{-1}\int\left[\phi R-\phi^{-1}w(\phi)g^{\mu\nu}\phi_{,\mu}\phi_{,\nu}+2\phi\lambda(\phi)\right]\times\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})}$",,Ec. 5-30,Action
Acción para las teorías vectoriales-tensoriales,"$I=(16\pi G)^{-1}\int\left[R+wK_{\mu}K^{\mu}R+nK^{\mu}K^{\nu}R_{\mu\nu}-\varepsilon F_{\mu\nu}F^{\mu\nu}+\tau K_{\mu;\nu}K^{\mu;\nu}\right]\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$,
where $F_{\mu\nu}=K_{\nu;\mu}-K_{\mu;\nu}$",,Ec. 5-45,Action
Acción para la teoría bimétrica de Rosen,"$I=-(16\pi G)^{-1}\int\eta^{\mu\nu}g^{\alpha\beta}g^{\gamma\delta}\left(g_{\alpha\gamma\mid\mu}g_{\beta\delta\mid\nu}-\frac{1}{2}g_{\alpha\beta\mid\mu}g_{\gamma\delta\mid\nu}\right)\times\left(-\eta\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$",,Ec. 5-67,Action
Acción para la teoría bimétrica de Rastall,"$I=-(16\pi G)^{-1}\int F(N)K^{\mu;\nu}K_{\mu;\nu}\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$",,Ec. 5-73,Action
Acción para las teorías bimétricas BSLL,"$I=-(16\pi)^{-1}\int\left(aB^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+fB_{,\alpha}B^{,\alpha}\right)\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$",,Ec. 5-82,Action
Acción para las teorías estratificadas,"$I=(8\pi)^{-1}\int\left[e^{-1}K^{\mu\mid\nu}K_{\mu\mid\nu}-\phi_{,\mu}\phi^{,\mu}-\left[f_{3}\left(\phi\right)+1\right]\left(\phi_{,\mu}t^{,\mu}\right)^{2}+\kappa_{1}B^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+\kappa_{2}B_{\mid\nu}^{\mu\nu}\phi_{,\mu}\right]\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$",,Ec. 5-93,Action
Signatura,para el tensor métrico: toda positiva.,,No toda positiva,Tip
Signatura,"para el tensor métrico: no toda positiva: $<1,3>$.",,"<1,3>",Tip
$\overline{D}(g)=0$,Condición que conserva ángulos y distancias cuando se transporta en paralelo a lo largo de una curva.,,D(g) = 0,Cond
